TLIST(Q1),Quarter,Type of Offence,VALUE
20042,2004Q2,"Abandoning a child, child neglect and cruelty (0422)",55
20042,2004Q2,Unseaworthy/dangerous use of boat or ship (0423),0
20042,2004Q2,False alarm/interference with aircraft or air transport facilities (0424),5
20042,2004Q2,Endangering traffic offences (0425),33
20042,2004Q2,Kidnapping and related offences (05),17
20042,2004Q2,False imprisonment (0511),16
20042,2004Q2,Abduction of person under 16 years of age (0512),1
20042,2004Q2,Human trafficking offences (0513),0
20042,2004Q2,"Robbery, extortion and hijacking offences (06)",683
20042,2004Q2,Robbery of an establishment or institution (0611),232
20042,2004Q2,Robbery of cash or goods in transit (0612),15
20042,2004Q2,Robbery from the person (0613),416
20042,2004Q2,Blackmail or extortion (0621),2
20042,2004Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",18
20042,2004Q2,Burglary and related offences (07),5604
20042,2004Q2,Aggravated burglary (0711),68
20042,2004Q2,Burglary (not aggravated) (0712),5484
20042,2004Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",52
20042,2004Q2,Theft and related offences (08),18016
20042,2004Q2,Theft/taking of vehicle and related offences (081),3642
20042,2004Q2,Theft from person (0821),1462
20042,2004Q2,Theft from shop (0822),3470
20042,2004Q2,"Other thefts, handling stolen property (084)",9442
20042,2004Q2,"Fraud, deception and related offences (09)",713
20042,2004Q2,Controlled drug offences (10),2535
20042,2004Q2,Importation of drugs (1011),16
20042,2004Q2,Cultivation or manufacture of drugs (1012),13
20042,2004Q2,Possession of drugs for sale or supply (1021),542
20042,2004Q2,Possession of drugs for personal use (1022),1860
20042,2004Q2,Other drug offences (103),104
20042,2004Q2,Weapons and explosives offences (11),532
20042,2004Q2,"Explosives, chemical weapons offences (111)",4
20042,2004Q2,Discharging a firearm (1121),78
20042,2004Q2,Possession of a firearm (1122),97
20042,2004Q2,Offensive weapons offences (n.e.c.) (113),353
20042,2004Q2,Fireworks offences (114),0
20042,2004Q2,Damage to property and to the environment  offences (12),8861
20042,2004Q2,Arson (1211),413
20042,2004Q2,Criminal damage (not arson) (1212),8421
20042,2004Q2,Litter offences (1221),27
20042,2004Q2,Public order and other social code offences (13),11133
20042,2004Q2,Disorderly conduct (131),9054
20042,2004Q2,Trespass offences (132),464
20042,2004Q2,Liquor licensing offences (133),1312
20042,2004Q2,Prostitution offences (134),73
20042,2004Q2,"Regulated betting/money, collection/trading offences (135)",65
