TLIST(Q1),Quarter,Type of Offence,VALUE
20042,2004Q2,Social code offences (n.e.c.) (136),165
20042,2004Q2,Road and traffic offences (14),13904
20042,2004Q2,"Driving licence-failure to have, produce, etc. (1411)",403
20042,2004Q2,"Insurance-failure to have, produce, display, etc. (1412)",4480
20042,2004Q2,Vehicle tax/registration offences (142),1406
20042,2004Q2,Roadworthiness/regulatory offences (143),363
20042,2004Q2,Obstruction under Road Traffic Acts (1432),33
20042,2004Q2,Other road offences (1433),6942
20042,2004Q2,Road transport - carriage of goods offences (1441),198
20042,2004Q2,Public service vehicle offences (1442),79
20042,2004Q2,Light rail offences (Luas) (1443),0
20042,2004Q2,"Offences against government, justice procedures and organisation of crime (15)",1534
20042,2004Q2,Offences against government and its agents (151),28
20042,2004Q2,Organisation of crime and conspiracy to commit crime (152),4
20042,2004Q2,Perverting the course of justice (153),76
20042,2004Q2,"Offences while in custody, breach of court orders (157)",1426
20042,2004Q2,Offences not elsewhere classified (16),363
20043,2004Q3,Homicide & related offences (01),33
20043,2004Q3,Murder (0111),8
20043,2004Q3,Manslaughter (0112),3
20043,2004Q3,Infanticide (0113),0
20043,2004Q3,Dangerous driving leading to death (012),22
20043,2004Q3,Sexual offences (02),329
20043,2004Q3,Rape of a male or female (0211),100
20043,2004Q3,Defilement of a boy or girl less than 17 years old (0212),20
20043,2004Q3,Sexual offence involving mentally impaired person (0213),2
20043,2004Q3,Aggravated sexual assault (0214),3
20043,2004Q3,Sexual assault (not aggravated) (0215),200
20043,2004Q3,Other sexual offences (022),4
20043,2004Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",3332
20043,2004Q3,Murder-attempt (0311),1
20043,2004Q3,Threat to kill or cause serious harm  (0313 ),15
20043,2004Q3,Harassment and related offences (033),205
20043,2004Q3,"Assault causing harm, poisoning (034)",987
20043,2004Q3,Other assault (035),2124
20043,2004Q3,Dangerous or negligent acts (04),5530
20043,2004Q3,Dangerous driving causing serious bodily harm (0411),3
20043,2004Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",3079
20043,2004Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),3059
20043,2004Q3,Driving/in charge of a vehicle under the influence of drugs (0413),20
20043,2004Q3,Dangerous/careless driving and motorway offences (0414),1219
20043,2004Q3,Speeding (0415),1118
20043,2004Q3,Endangerment with potential for serious harm/death (0421),23
20043,2004Q3,"Abandoning a child, child neglect and cruelty (0422)",57
20043,2004Q3,Unseaworthy/dangerous use of boat or ship (0423),0
20043,2004Q3,False alarm/interference with aircraft or air transport facilities (0424),6
20043,2004Q3,Endangering traffic offences (0425),25
20043,2004Q3,Kidnapping and related offences (05),22
20043,2004Q3,False imprisonment (0511),20
20043,2004Q3,Abduction of person under 16 years of age (0512),2
20043,2004Q3,Human trafficking offences (0513),0
20043,2004Q3,"Robbery, extortion and hijacking offences (06)",607
20043,2004Q3,Robbery of an establishment or institution (0611),242
20043,2004Q3,Robbery of cash or goods in transit (0612),9
20043,2004Q3,Robbery from the person (0613),327
20043,2004Q3,Blackmail or extortion (0621),1
20043,2004Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",28
20043,2004Q3,Burglary and related offences (07),6075
20043,2004Q3,Aggravated burglary (0711),64
20043,2004Q3,Burglary (not aggravated) (0712),5969
20043,2004Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",42
20043,2004Q3,Theft and related offences (08),18526
20043,2004Q3,Theft/taking of vehicle and related offences (081),3588
20043,2004Q3,Theft from person (0821),1399
20043,2004Q3,Theft from shop (0822),3567
20043,2004Q3,"Other thefts, handling stolen property (084)",9972
20043,2004Q3,"Fraud, deception and related offences (09)",734
20043,2004Q3,Controlled drug offences (10),2914
20043,2004Q3,Importation of drugs (1011),5
20043,2004Q3,Cultivation or manufacture of drugs (1012),17
20043,2004Q3,Possession of drugs for sale or supply (1021),575
20043,2004Q3,Possession of drugs for personal use (1022),2198
20043,2004Q3,Other drug offences (103),119
20043,2004Q3,Weapons and explosives offences (11),497
20043,2004Q3,"Explosives, chemical weapons offences (111)",5
20043,2004Q3,Discharging a firearm (1121),60
20043,2004Q3,Possession of a firearm (1122),93
20043,2004Q3,Offensive weapons offences (n.e.c.) (113),339
20043,2004Q3,Fireworks offences (114),0
20043,2004Q3,Damage to property and to the environment  offences (12),9346
20043,2004Q3,Arson (1211),361
20043,2004Q3,Criminal damage (not arson) (1212),8965
20043,2004Q3,Litter offences (1221),20
20043,2004Q3,Public order and other social code offences (13),11694
20043,2004Q3,Disorderly conduct (131),9446
20043,2004Q3,Trespass offences (132),390
20043,2004Q3,Liquor licensing offences (133),1549
20043,2004Q3,Prostitution offences (134),61
20043,2004Q3,"Regulated betting/money, collection/trading offences (135)",76
20043,2004Q3,Social code offences (n.e.c.) (136),172
20043,2004Q3,Road and traffic offences (14),13681
20043,2004Q3,"Driving licence-failure to have, produce, etc. (1411)",371
20043,2004Q3,"Insurance-failure to have, produce, display, etc. (1412)",4220
20043,2004Q3,Vehicle tax/registration offences (142),1286
20043,2004Q3,Roadworthiness/regulatory offences (143),363
20043,2004Q3,Obstruction under Road Traffic Acts (1432),47
20043,2004Q3,Other road offences (1433),6974
20043,2004Q3,Road transport - carriage of goods offences (1441),324
20043,2004Q3,Public service vehicle offences (1442),96
20043,2004Q3,Light rail offences (Luas) (1443),0
20043,2004Q3,"Offences against government, justice procedures and organisation of crime (15)",1550
20043,2004Q3,Offences against government and its agents (151),35
20043,2004Q3,Organisation of crime and conspiracy to commit crime (152),3
20043,2004Q3,Perverting the course of justice (153),80
20043,2004Q3,"Offences while in custody, breach of court orders (157)",1432
20043,2004Q3,Offences not elsewhere classified (16),374
20044,2004Q4,Homicide & related offences (01),30
20044,2004Q4,Murder (0111),6
20044,2004Q4,Manslaughter (0112),5
20044,2004Q4,Infanticide (0113),0
20044,2004Q4,Dangerous driving leading to death (012),19
20044,2004Q4,Sexual offences (02),266
20044,2004Q4,Rape of a male or female (0211),81
20044,2004Q4,Defilement of a boy or girl less than 17 years old (0212),19
20044,2004Q4,Sexual offence involving mentally impaired person (0213),0
20044,2004Q4,Aggravated sexual assault (0214),1
20044,2004Q4,Sexual assault (not aggravated) (0215),158
20044,2004Q4,Other sexual offences (022),7
20044,2004Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",3193
20044,2004Q4,Murder-attempt (0311),0
20044,2004Q4,Threat to kill or cause serious harm  (0313 ),11
20044,2004Q4,Harassment and related offences (033),218
20044,2004Q4,"Assault causing harm, poisoning (034)",900
20044,2004Q4,Other assault (035),2064
20044,2004Q4,Dangerous or negligent acts (04),5875
20044,2004Q4,Dangerous driving causing serious bodily harm (0411),7
20044,2004Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",3588
20044,2004Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),3572
20044,2004Q4,Driving/in charge of a vehicle under the influence of drugs (0413),16
20044,2004Q4,Dangerous/careless driving and motorway offences (0414),1254
20044,2004Q4,Speeding (0415),944
20044,2004Q4,Endangerment with potential for serious harm/death (0421),9
20044,2004Q4,"Abandoning a child, child neglect and cruelty (0422)",38
20044,2004Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20044,2004Q4,False alarm/interference with aircraft or air transport facilities (0424),3
20044,2004Q4,Endangering traffic offences (0425),32
20044,2004Q4,Kidnapping and related offences (05),12
20044,2004Q4,False imprisonment (0511),10
20044,2004Q4,Abduction of person under 16 years of age (0512),2
20044,2004Q4,Human trafficking offences (0513),0
20044,2004Q4,"Robbery, extortion and hijacking offences (06)",652
20044,2004Q4,Robbery of an establishment or institution (0611),320
20044,2004Q4,Robbery of cash or goods in transit (0612),15
20044,2004Q4,Robbery from the person (0613),294
20044,2004Q4,Blackmail or extortion (0621),6
20044,2004Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",17
20044,2004Q4,Burglary and related offences (07),6205
20044,2004Q4,Aggravated burglary (0711),70
20044,2004Q4,Burglary (not aggravated) (0712),6090
20044,2004Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",45
20044,2004Q4,Theft and related offences (08),17033
20044,2004Q4,Theft/taking of vehicle and related offences (081),3248
20044,2004Q4,Theft from person (0821),1289
20044,2004Q4,Theft from shop (0822),3982
20044,2004Q4,"Other thefts, handling stolen property (084)",8514
20044,2004Q4,"Fraud, deception and related offences (09)",748
20044,2004Q4,Controlled drug offences (10),2228
20044,2004Q4,Importation of drugs (1011),8
20044,2004Q4,Cultivation or manufacture of drugs (1012),5
20044,2004Q4,Possession of drugs for sale or supply (1021),555
20044,2004Q4,Possession of drugs for personal use (1022),1555
20044,2004Q4,Other drug offences (103),105
20044,2004Q4,Weapons and explosives offences (11),542
20044,2004Q4,"Explosives, chemical weapons offences (111)",54
20044,2004Q4,Discharging a firearm (1121),70
20044,2004Q4,Possession of a firearm (1122),64
20044,2004Q4,Offensive weapons offences (n.e.c.) (113),353
20044,2004Q4,Fireworks offences (114),1
20044,2004Q4,Damage to property and to the environment  offences (12),9082
20044,2004Q4,Arson (1211),370
20044,2004Q4,Criminal damage (not arson) (1212),8691
20044,2004Q4,Litter offences (1221),21
20044,2004Q4,Public order and other social code offences (13),14353
20044,2004Q4,Disorderly conduct (131),10978
20044,2004Q4,Trespass offences (132),393
20044,2004Q4,Liquor licensing offences (133),2578
20044,2004Q4,Prostitution offences (134),26
20044,2004Q4,"Regulated betting/money, collection/trading offences (135)",139
20044,2004Q4,Social code offences (n.e.c.) (136),239
20044,2004Q4,Road and traffic offences (14),15365
20044,2004Q4,"Driving licence-failure to have, produce, etc. (1411)",403
20044,2004Q4,"Insurance-failure to have, produce, display, etc. (1412)",4474
20044,2004Q4,Vehicle tax/registration offences (142),1471
20044,2004Q4,Roadworthiness/regulatory offences (143),391
20044,2004Q4,Obstruction under Road Traffic Acts (1432),62
20044,2004Q4,Other road offences (1433),8120
20044,2004Q4,Road transport - carriage of goods offences (1441),355
20044,2004Q4,Public service vehicle offences (1442),89
20044,2004Q4,Light rail offences (Luas) (1443),0
20044,2004Q4,"Offences against government, justice procedures and organisation of crime (15)",1592
20044,2004Q4,Offences against government and its agents (151),53
20044,2004Q4,Organisation of crime and conspiracy to commit crime (152),2
20044,2004Q4,Perverting the course of justice (153),48
20044,2004Q4,"Offences while in custody, breach of court orders (157)",1489
20044,2004Q4,Offences not elsewhere classified (16),609
20051,2005Q1,Homicide & related offences (01),24
20051,2005Q1,Murder (0111),9
20051,2005Q1,Manslaughter (0112),3
20051,2005Q1,Infanticide (0113),0
20051,2005Q1,Dangerous driving leading to death (012),12
20051,2005Q1,Sexual offences (02),482
20051,2005Q1,Rape of a male or female (0211),101
20051,2005Q1,Defilement of a boy or girl less than 17 years old (0212),41
20051,2005Q1,Sexual offence involving mentally impaired person (0213),2
20051,2005Q1,Aggravated sexual assault (0214),0
20051,2005Q1,Sexual assault (not aggravated) (0215),324
20051,2005Q1,Other sexual offences (022),14
20051,2005Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",3322
20051,2005Q1,Murder-attempt (0311),1
20051,2005Q1,Threat to kill or cause serious harm  (0313 ),11
20051,2005Q1,Harassment and related offences (033),304
20051,2005Q1,"Assault causing harm, poisoning (034)",1042
20051,2005Q1,Other assault (035),1964
20051,2005Q1,Dangerous or negligent acts (04),5636
20051,2005Q1,Dangerous driving causing serious bodily harm (0411),6
20051,2005Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",3140
20051,2005Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),3117
20051,2005Q1,Driving/in charge of a vehicle under the influence of drugs (0413),23
20051,2005Q1,Dangerous/careless driving and motorway offences (0414),1236
20051,2005Q1,Speeding (0415),1147
20051,2005Q1,Endangerment with potential for serious harm/death (0421),21
20051,2005Q1,"Abandoning a child, child neglect and cruelty (0422)",45
20051,2005Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20051,2005Q1,False alarm/interference with aircraft or air transport facilities (0424),8
20051,2005Q1,Endangering traffic offences (0425),33
20051,2005Q1,Kidnapping and related offences (05),18
20051,2005Q1,False imprisonment (0511),16
20051,2005Q1,Abduction of person under 16 years of age (0512),2
20051,2005Q1,Human trafficking offences (0513),0
20051,2005Q1,"Robbery, extortion and hijacking offences (06)",674
20051,2005Q1,Robbery of an establishment or institution (0611),357
20051,2005Q1,Robbery of cash or goods in transit (0612),13
20051,2005Q1,Robbery from the person (0613),285
20051,2005Q1,Blackmail or extortion (0621),4
20051,2005Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",15
20051,2005Q1,Burglary and related offences (07),6477
20051,2005Q1,Aggravated burglary (0711),64
20051,2005Q1,Burglary (not aggravated) (0712),6358
20051,2005Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",55
20051,2005Q1,Theft and related offences (08),17126
20051,2005Q1,Theft/taking of vehicle and related offences (081),3489
20051,2005Q1,Theft from person (0821),1033
20051,2005Q1,Theft from shop (0822),3884
20051,2005Q1,"Other thefts, handling stolen property (084)",8720
20051,2005Q1,"Fraud, deception and related offences (09)",915
20051,2005Q1,Controlled drug offences (10),2844
20051,2005Q1,Importation of drugs (1011),16
20051,2005Q1,Cultivation or manufacture of drugs (1012),8
20051,2005Q1,Possession of drugs for sale or supply (1021),699
20051,2005Q1,Possession of drugs for personal use (1022),1984
20051,2005Q1,Other drug offences (103),137
20051,2005Q1,Weapons and explosives offences (11),529
20051,2005Q1,"Explosives, chemical weapons offences (111)",7
20051,2005Q1,Discharging a firearm (1121),64
20051,2005Q1,Possession of a firearm (1122),91
20051,2005Q1,Offensive weapons offences (n.e.c.) (113),367
20051,2005Q1,Fireworks offences (114),0
20051,2005Q1,Damage to property and to the environment  offences (12),9487
20051,2005Q1,Arson (1211),318
20051,2005Q1,Criminal damage (not arson) (1212),9142
20051,2005Q1,Litter offences (1221),27
20051,2005Q1,Public order and other social code offences (13),12501
20051,2005Q1,Disorderly conduct (131),9817
